Executable,Dataset,SkylinePoints,AvgTime_s
cuda-skyline1.1,circle-N1000-D2.in,15,0.054213
cuda-skyline1,circle-N1000-D2.in,15,0.024083
cuda-skyline2,circle-N1000-D2.in,15,0.019333
cuda-skyline2.1,circle-N1000-D2.in,15,0.019598
cuda-skyline1.1,test1-N100000-D3.in,26,0.405482
cuda-skyline1,test1-N100000-D3.in,26,0.358390
cuda-skyline2,test1-N100000-D3.in,26,0.181933
cuda-skyline2.1,test1-N100000-D3.in,26,0.182688
cuda-skyline1.1,test2-N100000-D4.in,10352,0.349564
cuda-skyline1,test2-N100000-D4.in,10352,0.339623
cuda-skyline2,test2-N100000-D4.in,10352,0.344120
cuda-skyline2.1,test2-N100000-D4.in,10352,0.342148
cuda-skyline1.1,test3-N100000-D10.in,24892,0.414958
cuda-skyline1,test3-N100000-D10.in,24892,0.417838
cuda-skyline2,test3-N100000-D10.in,24892,0.659198
cuda-skyline2.1,test3-N100000-D10.in,24892,0.667384
cuda-skyline1.1,test3-N141421-D10.in,31212,0.634131
cuda-skyline1,test3-N141421-D10.in,31212,0.626427
cuda-skyline2,test3-N141421-D10.in,31212,1.265040
cuda-skyline2.1,test3-N141421-D10.in,31212,1.282701
cuda-skyline1.1,test3-N173205-D10.in,34688,0.809628
cuda-skyline1,test3-N173205-D10.in,34688,0.807276
cuda-skyline2,test3-N173205-D10.in,34688,1.846499
cuda-skyline2.1,test3-N173205-D10.in,34688,1.830091
cuda-skyline1.1,test3-N200000-D10.in,39965,1.060843
cuda-skyline1,test3-N200000-D10.in,39965,1.049334
cuda-skyline2,test3-N200000-D10.in,39965,2.436167
cuda-skyline2.1,test3-N200000-D10.in,39965,2.431436
cuda-skyline1.1,test4-N100000-D8.in,17458,0.343310
cuda-skyline1,test4-N100000-D8.in,17458,0.341787
cuda-skyline2,test4-N100000-D8.in,17458,0.523063
cuda-skyline2.1,test4-N100000-D8.in,17458,0.520497
cuda-skyline1.1,test5-N100000-D20.in,96973,1.120604
cuda-skyline1,test5-N100000-D20.in,96973,1.106637
cuda-skyline2,test5-N100000-D20.in,96973,1.178226
cuda-skyline2.1,test5-N100000-D20.in,96973,1.175271
cuda-skyline1.1,test6-N100000-D50.in,100050,2.382795
cuda-skyline1,test6-N100000-D50.in,100050,2.364953
cuda-skyline2,test6-N100000-D50.in,100050,1.327614
cuda-skyline2.1,test6-N100000-D50.in,100050,1.337917
cuda-skyline1.1,test7-N100000-D200.in,100200,4.000644
cuda-skyline1,test7-N100000-D200.in,100200,3.998013
cuda-skyline2,test7-N100000-D200.in,100200,1.352540
cuda-skyline2.1,test7-N100000-D200.in,100200,1.344256
cuda-skyline1.1,worst-N100000-D10.in,100000,0.507492
cuda-skyline1,worst-N100000-D10.in,100000,0.499674
cuda-skyline2,worst-N100000-D10.in,100000,0.863902
cuda-skyline2.1,worst-N100000-D10.in,100000,0.865359
cuda-skyline1.1,test5-N1M-D20.in,913430,95.024524
cuda-skyline2.1,test5-N1M-D20.in,913430,104.547479
cuda-skyline1.1,test1-N1M-D3.in,41,3.992552
cuda-skyline2.1,test1-N1M-D3.in,41,15.866111
