Executable,Dataset,SkylinePoints,AvgTime_s
omp-skyline1,circle-N1000-D2.in,15,.00147866666666666666
omp-skyline1,test1-N100000-D3.in,26,.01181533333333333333
omp-skyline1,test2-N100000-D4.in,10352,.63627366666666666666
omp-skyline1,test3-N100000-D10.in,24892,4.78705266666666666666
omp-skyline1,test4-N100000-D8.in,17458,3.21268066666666666666
omp-skyline1,test5-N100000-D20.in,96973,22.74088500000000000000
omp-skyline1,test6-N100000-D50.in,100050,35.84330866666666666666
omp-skyline1,test7-N100000-D200.in,100200,52.60055700000000000000
omp-skyline1,worst-N100000-D10.in,100000,14.99287366666666666666
omp-skyline1.2,circle-N1000-D2.in,15,.00076400000000000000
omp-skyline1.2,test1-N100000-D3.in,26,.01567566666666666666
omp-skyline1.2,test2-N100000-D4.in,10352,.65323766666666666666
omp-skyline1.2,test3-N100000-D10.in,24892,4.85037000000000000000
omp-skyline1.2,test4-N100000-D8.in,17458,3.09389233333333333333
omp-skyline1.2,test5-N100000-D20.in,96973,23.53389700000000000000
omp-skyline1.2,test6-N100000-D50.in,100050,37.90610933333333333333
omp-skyline1.2,test7-N100000-D200.in,100200,53.93557000000000000000
omp-skyline1.2,worst-N100000-D10.in,100000,15.28346266666666666666
omp-skyline1.3,circle-N1000-D2.in,15,.00041966666666666666
omp-skyline1.3,test1-N100000-D3.in,26,.01192733333333333333
omp-skyline1.3,test2-N100000-D4.in,10352,.62079466666666666666
omp-skyline1.3,test3-N100000-D10.in,24892,4.75036633333333333333
omp-skyline1.3,test4-N100000-D8.in,17458,3.15210666666666666666
omp-skyline1.3,test5-N100000-D20.in,96973,23.04791766666666666666
omp-skyline1.3,test6-N100000-D50.in,100050,36.21914500000000000000
omp-skyline1.3,test7-N100000-D200.in,100200,50.81934366666666666666
omp-skyline1.3,worst-N100000-D10.in,100000,15.38464133333333333333
omp-skyline1.4,circle-N1000-D2.in,15,.00035766666666666666
omp-skyline1.4,test1-N100000-D3.in,-84,.01096300000000000000
omp-skyline1.4,test2-N100000-D4.in,9713,.65107100000000000000
omp-skyline1.4,test3-N100000-D10.in,24892,4.69319500000000000000
omp-skyline1.4,test4-N100000-D8.in,17458,3.05274500000000000000
omp-skyline1.4,test5-N100000-D20.in,96973,22.11391766666666666666
omp-skyline1.4,test6-N100000-D50.in,100050,35.78731833333333333333
omp-skyline1.4,test7-N100000-D200.in,100200,50.26191800000000000000
omp-skyline1.4,worst-N100000-D10.in,100000,14.40966400000000000000
omp-skyline1.5,circle-N1000-D2.in,1985,.00039266666666666666
omp-skyline1.5,test1-N100000-D3.in,199974,.01005566666666666666
omp-skyline1.5,test2-N100000-D4.in,189648,.67541366666666666666
omp-skyline1.5,test3-N100000-D10.in,175148,5.12927100000000000000
omp-skyline1.5,test4-N100000-D8.in,182560,4.22971733333333333333
omp-skyline1.5,test5-N100000-D20.in,103027,24.26394366666666666666
omp-skyline1.5,test6-N100000-D50.in,100150,37.66246600000000000000
omp-skyline1.5,test7-N100000-D200.in,100600,56.44664733333333333333
omp-skyline1.5,worst-N100000-D10.in,100000,15.54216333333333333333
omp-skyline1.6,circle-N1000-D2.in,15,.00038033333333333333
omp-skyline1.6,test1-N100000-D3.in,26,.01214166666666666666
omp-skyline1.6,test2-N100000-D4.in,10352,.62661533333333333333
omp-skyline1.6,test3-N100000-D10.in,24892,4.82505933333333333333
omp-skyline1.6,test4-N100000-D8.in,17458,3.16566933333333333333
omp-skyline1.6,test5-N100000-D20.in,96973,23.00109433333333333333
omp-skyline1.6,test6-N100000-D50.in,100050,38.68969900000000000000
omp-skyline1.6,test7-N100000-D200.in,100200,54.62471300000000000000
omp-skyline1.6,worst-N100000-D10.in,100000,15.76357400000000000000
omp-skyline2,circle-N1000-D2.in,15,.00035166666666666666
omp-skyline2,test1-N100000-D3.in,26,.01937000000000000000
omp-skyline2,test2-N100000-D4.in,10352,.93164500000000000000
omp-skyline2,test3-N100000-D10.in,24892,8.92128066666666666666
omp-skyline2,test4-N100000-D8.in,17458,6.54451966666666666666
omp-skyline2,test5-N100000-D20.in,96973,24.97845300000000000000
omp-skyline2,test6-N100000-D50.in,100050,41.10720300000000000000
omp-skyline2,test7-N100000-D200.in,100200,58.67148133333333333333
omp-skyline2,worst-N100000-D10.in,100000,15.72984133333333333333
omp-skyline2.2,circle-N1000-D2.in,15,.00047066666666666666
omp-skyline2.2,test1-N100000-D3.in,26,.02324100000000000000
omp-skyline2.2,test2-N100000-D4.in,10352,.94752900000000000000
omp-skyline2.2,test3-N100000-D10.in,24892,9.41417933333333333333
omp-skyline2.2,test4-N100000-D8.in,17458,6.80360433333333333333
omp-skyline2.2,test5-N100000-D20.in,96973,25.83944366666666666666
omp-skyline2.2,test6-N100000-D50.in,100050,41.52545866666666666666
omp-skyline2.2,test7-N100000-D200.in,100200,60.30287933333333333333
omp-skyline2.2,worst-N100000-D10.in,100000,17.28589000000000000000
