Executable,Dataset,SkylinePoints,AvgTime_s
omp-skyline1.3,circle-N1000-D2.in,15,.00036260000000000000
omp-skyline1.3,test1-N100000-D3.in,26,.01129600000000000000
omp-skyline1.3,test2-N100000-D4.in,10352,.60981040000000000000
omp-skyline1.3,test3-N100000-D10.in,24892,4.93067880000000000000
omp-skyline1.3,test4-N100000-D8.in,17458,3.09359160000000000000
omp-skyline1.3,test5-N100000-D20.in,96973,22.77877860000000000000
omp-skyline1.3,test6-N100000-D50.in,100050,36.97599540000000000000
omp-skyline1.3,test7-N100000-D200.in,100200,50.86627400000000000000
omp-skyline1.3,worst-N100000-D10.in,100000,15.20713780000000000000
omp-skyline1.3.2,circle-N1000-D2.in,15,.00157780000000000000
omp-skyline1.3.2,test1-N100000-D3.in,26,.01261420000000000000
omp-skyline1.3.2,test2-N100000-D4.in,10352,.61795680000000000000
omp-skyline1.3.2,test3-N100000-D10.in,24892,4.65268580000000000000
omp-skyline1.3.2,test4-N100000-D8.in,17458,3.08979060000000000000
omp-skyline1.3.2,test5-N100000-D20.in,96973,21.74169720000000000000
omp-skyline1.3.2,test6-N100000-D50.in,100050,36.18285900000000000000
omp-skyline1.3.2,test7-N100000-D200.in,100200,51.16150760000000000000
omp-skyline1.3.2,worst-N100000-D10.in,100000,14.31057060000000000000
